RANK,"FEMALE NAME","NUMBER OF FEMALES"
972,Margo,269
973,Naya,269
974,Robin,269
975,Sandra,269
976,Scout,269
977,Waverly,269
978,Janessa,268
979,Jayden,268
980,Micah,268
981,Novah,268
982,Zora,268
983,Ann,267
984,Jana,267
985,Taliyah,267
986,Vada,265
987,Giavanna,264
988,Ingrid,264
989,Valery,264
990,Azaria,263
991,Emmarie,263
992,Esperanza,263
993,Kailyn,262
994,Aiyana,261
995,Keilani,261
996,Austyn,260
997,Whitley,260
998,Elina,259
999,Kimora,259
1000,Maliah,259
